	poa_global	module_temp	ambient_temp	Date	Month
0	335.4924624878599	28.498321151760337	8.3	2020-01-01	1
1	611.2903890043145	46.07474420623279	11.7	2020-01-01	1
2	761.6150741444262	52.193770069784485	15.0	2020-01-01	1
3	864.9754539151706	64.03032116511787	16.7	2020-01-01	1
4	904.8302063817926	71.17529569155184	16.7	2020-01-01	1
5	839.1272948143253	63.71594383656762	17.8	2020-01-01	1
6	668.8042973163895	54.39609303976863	17.8	2020-01-01	1
7	263.54791614607154	34.16690028658448	18.3	2020-01-01	1
8	259.2473520209096	32.766593928687755	18.9	2020-01-01	1
9	74.32439280711438	16.77545497000645	12.8	2020-01-02	1
10	452.0737323117671	35.527086180251025	15.0	2020-01-02	1
11	641.3504550459588	44.56644539984953	16.1	2020-01-02	1
12	620.4858349088654	45.37409041146309	17.2	2020-01-02	1
13	286.9504577736078	29.649862514776682	17.2	2020-01-02	1
14	288.21273436615814	31.27498162407164	17.2	2020-01-02	1
15	294.71465816114664	31.989890322585605	18.3	2020-01-02	1
16	118.31668184378319	23.92243460643367	18.3	2020-01-02	1
17	243.05784210144174	29.350161832636292	17.8	2020-01-02	1
18	7.863681661913089	17.101902764729164	16.7	2020-01-02	1
19	170.49520679742895	21.78747140061614	12.2	2020-01-03	1
20	593.7783964758861	43.21647930683689	15.0	2020-01-03	1
21	624.8734250652149	46.61593814723658	16.1	2020-01-03	1
22	183.38300707408052	26.155580885109416	17.2	2020-01-03	1
23	227.44003566032308	29.365287680059282	17.2	2020-01-03	1
24	261.32656561333914	31.156068281078845	17.8	2020-01-03	1
25	218.231119044317	29.710165633593952	18.3	2020-01-03	1
26	158.20751053685828	27.82488196827851	18.3	2020-01-03	1
27	265.9586105697122	32.85290597891059	18.3	2020-01-03	1
28	9.550729552098726	17.699357775317903	17.2	2020-01-03	1
29	333.1065579034063	28.954677784404524	8.9	2020-01-04	1
30	606.3860007679407	44.28064580499961	11.1	2020-01-04	1
31	784.5589558413526	56.31817019679208	12.2	2020-01-04	1
32	870.5538769401328	62.85392987660749	13.9	2020-01-04	1
33	892.564308338452	64.93994705625863	16.1	2020-01-04	1
34	811.1098127655353	58.65479055037409	17.2	2020-01-04	1
35	726.9142122810223	50.564206833359975	18.3	2020-01-04	1
36	522.5996826186922	43.17545471374564	18.9	2020-01-04	1
37	306.6102837099831	33.470187761820114	18.9	2020-01-04	1
38	15.928196303796812	18.014069847543578	17.2	2020-01-04	1
39	311.96008300881175	25.83469268437869	10.6	2020-01-05	1
40	589.3664373969553	47.182801879768974	11.7	2020-01-05	1
41	768.707924514595	55.962688351171536	13.9	2020-01-05	1
42	860.0508144833109	62.660851361232325	15.6	2020-01-05	1
43	810.8532392326908	65.51741309928741	16.7	2020-01-05	1
44	868.3024756436303	66.6273266368626	17.8	2020-01-05	1
45	720.7574292275651	60.59319554334944	17.2	2020-01-05	1
46	489.4857548464472	42.21699415442386	17.2	2020-01-05	1
47	295.8039213768675	32.31816206839806	17.2	2020-01-05	1
48	17.071621468024915	16.534136712473902	15.6	2020-01-05	1
49	77.77641774103799	10.955823461918397	6.7	2020-01-06	1
50	560.9069620532501	40.44152869224893	8.9	2020-01-06	1
51	640.3996078124665	46.45362397880977	12.2	2020-01-06	1
52	872.4415533622473	63.4600797446923	14.4	2020-01-06	1
53	792.3096564961909	60.15401600301048	15.6	2020-01-06	1
54	806.5189797845301	65.25646904218458	16.7	2020-01-06	1
55	645.2897455132987	57.14966421946647	18.3	2020-01-06	1
56	503.73361866490256	45.86364223419345	18.3	2020-01-06	1
57	295.09614005659716	34.68406997097492	18.9	2020-01-06	1
58	16.613097977705646	18.109046909103956	17.2	2020-01-06	1
59	254.25822274423876	21.59383475610482	8.3	2020-01-07	1
60	380.8033090854808	32.06836562698253	11.7	2020-01-07	1
61	577.6865604448789	45.51025011157122	13.9	2020-01-07	1
62	487.2721210821975	46.036214342740465	16.7	2020-01-07	1
63	843.5401953226329	69.08533104201028	18.3	2020-01-07	1
64	589.6223393523868	55.4982084550489	20.0	2020-01-07	1
65	445.9757187822534	46.17859035752412	21.1	2020-01-07	1
66	518.3329955895512	50.56250097119756	22.2	2020-01-07	1
67	320.7516855242306	39.73685669191116	21.7	2020-01-07	1
68	22.220134104094953	21.337763004693237	20.0	2020-01-07	1
69	357.34144158350216	31.75325451051707	12.2	2020-01-08	1
70	631.0775899349671	47.995751753190554	15.0	2020-01-08	1
71	788.9000865270782	62.067576945111504	18.9	2020-01-08	1
72	901.7496469961915	75.98983063717766	21.7	2020-01-08	1
73	918.2629157014917	74.93675629306433	23.3	2020-01-08	1
74	806.0440004881809	74.62787291726139	26.1	2020-01-08	1
75	747.5459411563478	72.20599770022322	27.2	2020-01-08	1
76	550.2562932029266	57.64260872893739	26.7	2020-01-08	1
77	338.6611014772503	47.08908903801058	26.7	2020-01-08	1
78	24.88323479062772	24.699261048983093	23.3	2020-01-08	1
